video_name,class_name,video_path,frame_count,fps,duration_sec,width,height,is_readable
cover_0001.avi,cover,Dataset\rawData\cover\cover_0001.avi,50,25,2.0,1280,720,True
cover_0002.avi,cover,Dataset\rawData\cover\cover_0002.avi,52,25,2.08,1280,720,True
cover_0003.avi,cover,Dataset\rawData\cover\cover_0003.avi,61,25,2.44,1280,720,True
cover_0004.avi,cover,Dataset\rawData\cover\cover_0004.avi,56,25,2.24,1280,720,True
cover_0005.avi,cover,Dataset\rawData\cover\cover_0005.avi,61,25,2.44,1280,720,True
cover_0006.avi,cover,Dataset\rawData\cover\cover_0006.avi,60,25,2.4,1280,720,True
cover_0007.avi,cover,Dataset\rawData\cover\cover_0007.avi,37,25,1.48,1280,720,True
cover_0008.avi,cover,Dataset\rawData\cover\cover_0008.avi,46,25,1.84,1280,720,True
cover_0009.avi,cover,Dataset\rawData\cover\cover_0009.avi,50,25,2.0,1280,720,True
cover_0010.avi,cover,Dataset\rawData\cover\cover_0010.avi,51,25,2.04,1280,720,True
cover_0011.avi,cover,Dataset\rawData\cover\cover_0011.avi,56,25,2.24,1280,720,True
cover_0012.avi,cover,Dataset\rawData\cover\cover_0012.avi,58,25,2.32,1280,720,True
cover_0013.avi,cover,Dataset\rawData\cover\cover_0013.avi,82,25,3.28,1280,720,True
cover_0014.avi,cover,Dataset\rawData\cover\cover_0014.avi,54,25,2.16,1280,720,True
cover_0015.avi,cover,Dataset\rawData\cover\cover_0015.avi,51,25,2.04,1280,720,True
cover_0016.avi,cover,Dataset\rawData\cover\cover_0016.avi,55,25,2.2,1280,720,True
cover_0017.avi,cover,Dataset\rawData\cover\cover_0017.avi,61,25,2.44,1280,720,True
cover_0018.avi,cover,Dataset\rawData\cover\cover_0018.avi,55,25,2.2,1280,720,True
cover_0019.avi,cover,Dataset\rawData\cover\cover_0019.avi,57,25,2.28,1280,720,True
cover_0020.avi,cover,Dataset\rawData\cover\cover_0020.avi,78,25,3.12,1280,720,True
cover_0021.avi,cover,Dataset\rawData\cover\cover_0021.avi,54,25,2.16,1280,720,True
cover_0022.avi,cover,Dataset\rawData\cover\cover_0022.avi,56,25,2.24,1280,720,True
